09:54:02:453->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/teste123/encript/2022000001_HOVSLOCAL_108_1297_20220526145716200 (4ª cópia).flow selecionado para descriptografia.
09:54:02:549->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/teste123/encript/2022000001_HOVSLOCAL_108_1297_20220526145716200 (4ª cópia).flow descriptografado.
09:59:22:384->INFO - c.v.v.cryptography.Decrypt          : Diretório de arquivos encriptados /home/msmaniotto/teste123/encript selecionado.
09:59:22:387->INFO - c.v.v.cryptography.Decrypt          : Diretório destino /home/msmaniotto/teste123/testeSave selecionado.
09:59:22:388->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/teste123/encript/tree-736885__480 (26ª cópia).jpg selecionado para descriptografia.
09:59:22:700->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.BadPaddingException: Given final block not properly padded. Such issues can arise if a bad key is used during decryption.
09:59:22:700->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/teste123/encript/tree-736885__480 (26ª cópia).jpg selecionado não possuí criptografia compatível.
09:59:22:700->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/teste123/encript/nbactions (16ª cópia).xml selecionado para descriptografia.
09:59:22:801->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:59:22:801->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/teste123/encript/nbactions (16ª cópia).xml selecionado não possuí criptografia compatível.
09:59:22:802->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/teste123/encript/2022000001_HOVSLOCAL_108_1297_20220526145716200 (6ª cópia).flow selecionado para descriptografia.
